time,book,symbol,module,side,entry,exit,qty,notional,leverage,margin,pnl,fees,funding,bars,reason,cash_after
2026-08-31 03:00:00+00:00,D_max_leverage,PUMP-USDT-SWAP,breakout,short,0.004241,,420963.1038242586,1785.44,25.0,71.4175,,0.8927,0.0,0,OPEN donchian break er=0.54 ext=0.61atr,0.8927
2026-08-31 03:00:00+00:00,D_max_leverage,PUMP-USDT-SWAP,breakout,short,0.004241,0.004281,420963.1038242586,1785.44,25.0,71.4175,-17.5426,1.7938,0.0,1,stop,54.7677
2026-09-01 19:00:00+00:00,A_conservative,SOL-USDT-SWAP,breakout,short,99.276131,,0.5466707290758289,54.27,9.4,5.7909,,0.0271,0.0,0,OPEN donchian break er=0.50 ext=0.60atr,106.6165
2026-09-01 19:00:00+00:00,B_aggressive,SOL-USDT-SWAP,breakout,short,99.275682,,5.093806332501358,505.69,9.4,53.959,,0.2528,0.0,0,OPEN donchian break er=0.50 ext=0.60atr,170.5823
2026-09-01 19:00:00+00:00,C_degen,SOL-USDT-SWAP,breakout,short,99.27453,,16.744932452156725,1662.35,9.4,177.3781,,0.8312,0.0,0,OPEN donchian break er=0.50 ext=0.60atr,15.0572
2026-09-01 19:00:00+00:00,E_optimal,SOL-USDT-SWAP,breakout,short,99.27531,,8.856507211027417,879.23,9.4,93.8172,,0.4396,0.0,0,OPEN donchian break er=0.50 ext=0.60atr,136.8716
2026-09-01 19:00:00+00:00,D_max_leverage,SOL-USDT-SWAP,breakout,short,99.272381,,38.490054697773346,3821.0,75.0,50.9467,,1.9105,0.0,0,OPEN donchian break er=0.50 ext=0.60atr,1.9105
2026-09-01 19:00:00+00:00,D_max_leverage,SOL-USDT-SWAP,breakout,short,99.272381,99.563759,38.490054697773346,3821.0,75.0,50.9467,-13.1312,3.8266,0.0,1,stop,39.7259
2026-09-02 09:00:00+00:00,D_max_leverage,SOL-USDT-SWAP,meanrev,long,98.952742,,28.00908047140628,2771.58,75.0,36.9543,,0.5543,0.0,0,OPEN z=-3.25 bw=33pct rr=2.00,2.2173
2026-09-02 09:00:00+00:00,D_max_leverage,SOL-USDT-SWAP,meanrev,long,98.952742,98.742224,28.00908047140628,2771.58,75.0,36.9543,-7.2793,1.9372,0.0,1,stop,31.8923
2026-09-02 14:00:00+00:00,A_conservative,TRUMP-USDT-SWAP,meanrev,long,2.210001,,27.45260308298949,60.67,7.8,7.7971,,0.0121,0.0,0,OPEN z=-3.57 bw=20pct rr=2.00,98.8105
2026-09-02 14:00:00+00:00,B_aggressive,TRUMP-USDT-SWAP,meanrev,long,2.210013,,265.3193323469482,586.36,7.8,75.3566,,0.1173,0.0,0,OPEN z=-3.57 bw=20pct rr=2.00,95.1391
2026-09-02 14:00:00+00:00,C_degen,TRUMP-USDT-SWAP,meanrev,long,2.210003,,52.971268111234295,117.07,7.8,15.0449,,0.0234,0.0,0,OPEN z=-3.57 bw=20pct rr=2.00,0.0937
2026-09-02 14:00:00+00:00,E_optimal,TRUMP-USDT-SWAP,meanrev,long,2.210023,,472.5868099599449,1044.43,7.8,134.2258,,0.2089,0.0,0,OPEN z=-3.57 bw=20pct rr=2.00,2.491
2026-09-02 14:00:00+00:00,D_max_leverage,TRUMP-USDT-SWAP,meanrev,long,2.210017,,351.97101737251285,777.86,25.0,31.1145,,0.1556,0.0,0,OPEN z=-3.57 bw=20pct rr=2.00,0.6223
2026-09-02 14:00:00+00:00,D_max_leverage,TRUMP-USDT-SWAP,meanrev,long,2.210017,2.189453,351.97101737251285,777.86,25.0,31.1145,-7.6233,0.5409,0.0,1,stop,24.1134
